"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8039323506604","63.9675314257284","64.1613204600098","64.2704892920109","64.4747311402851","64.8138077340579","64.9565538645502","65.0261154624429","65.1186500559282","65.2381673509748","65.3601723965906","65.4683970225106","65.6617660131651","65.8630237243677","66.0495421515231","66.2409315885675","66.1332604251648","65.9067462473803","65.6809174174334","65.273212636588","64.4910250504992","64.5965611351705","64.3477773003276","64.3920106478085","64.2992841401086","64.4998381283096","64.5640240371129","64.7699841678977","64.643375437019","64.7664953756129","63.7563173887261","64.4344432258815",
"Afghanistan","AFG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6020002365112","15.6759996414185","15.7349996566772","15.7469997406006","15.7519998550415","15.8109998703003","15.6520004272461","15.5010004043579","15.3920001983643","15.3199996948242","15.2650003433228","15.3879995346069","15.5559997558594","15.7360000610352","15.9079999923706","16.0709991455078","15.8760004043579","15.6899995803833","15.5389995574951","15.4569997787476","15.4659996032715","15.7840003967285","16.1860008239746","17.1180000305176","18.0879993438721","19.0960006713867","20.1410007476807","21.2269992828369","21.5830001831055","21.9440002441406","16.4629993438721","",
"Africa Western and Central","AFW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.9008022334265","59.867391632237","59.7875995575938","59.7386107764347","59.6900102178678","59.6585932794563","59.5983668197606","59.5541681618483","59.5232341281645","59.513856055893","59.5052786709425","59.4532696010396","59.4044283794844","59.3030405081849","59.2207787252419","59.0981937096735","58.9466539247928","58.8470912549614","58.6161579366826","58.3781711904601","58.1331559607659","57.979903581372","56.5467918302633","55.0993186312237","54.8324198180014","54.7704361713548","54.8133578208831","54.5571848331033","54.5465812434866","54.6154338658628","53.795981883536","54.0919400318961",
"Angola","AGO","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.495002746582","75.4739990234375","75.4660034179688","75.4700012207031","75.4850006103516","75.5070037841797","75.5019989013672","75.5100021362305","75.5299987792969","75.5589981079102","75.5940017700195","75.5979995727539","75.6119995117188","75.629997253418","75.6500015258789","75.6660003662109","75.6500015258789","75.6389999389648","75.6309967041016","75.625","75.625","74.8730010986328","74.8600006103516","74.8570022583008","74.8629989624023","74.8779983520508","74.890998840332","74.9140014648438","74.947998046875","74.9929962158203","74.2799987792969","74.463996887207",
"Albania","ALB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.2890014648438","54.4339981079102","55.1969985961914","54.1959991455078","53.359001159668","52.1380004882813","51.3349990844727","52.3479995727539","51.5530014038086","50.4970016479492","49.931999206543","49.2789993286133","48.9449996948242","48.3320007324219","47.726001739502","47.1310005187988","46.5480003356934","45.9780006408691","45.4210014343262","45.8470001220703","46.7350006103516","52.4679985046387","48.8209991455078","43.6599998474121","43.818000793457","46.9889984130859","49.7630004882813","49.609001159668","51.2840003967285","52.814998626709","49.6199989318848","51.6529998779297",
"Andorra","AND","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1495240582627","19.2443046542465","19.6146559272726","19.5763730409652","19.9556400713145","19.8230951683666","19.7676926728513","19.6417533034535","19.5516232927677","20.0486280737824","20.1367439502898","20.0490385340361","19.3991909103037","19.62983637518","19.8320329554567","20.0494511577518","20.3315083713246","20.9053065755414","20.5348326450551","20.7431473338075","20.8602109070758","20.8913924586283","20.9309379309789","21.2349495345848","21.226618091237","21.4843121259846","21.7278807582827","21.0117061394295","20.1896828685227","19.8060119101682","19.4200908513049","19.2038676178963",
"United Arab Emirates","ARE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7660007476807","29.4860000610352","30.0170001983643","30.69700050354","30.9759998321533","31.257999420166","31.80299949646","32.173999786377","32.5789985656738","33.0429992675781","33.5839996337891","34.2229995727539","34.9589996337891","35.7840003967285","36.6809997558594","37.4710006713867","38.3549995422363","39.1290016174316","39.9930000305176","41.0690002441406","42.3819999694824","43.814998626709","45.2360000610352","46.6479988098145","48.0519981384277","49.4420013427734","50.8050003051758","52.773998260498","52.9519996643066","56.7970008850098","60.992000579834","52.7890014648438",
"Argentina","ARG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.8709983825684","46.2210006713867","47.4210014343262","48.6959991455078","49.5769996643066","48.9099998474121","49.7290000915527","50.9830017089844","51.5099983215332","50.7309989929199","50.4259986877441","49.4609985351563","47.2280006408691","48.5690002441406","49.9539985656738","49.0940017700195","49.7350006103516","48.898998260498","48.0629997253418","48.7879981994629","47.693000793457","47.9490013122559","48.0559997558594","47.6500015258789","47.4290008544922","47.5120010375977","47.5979995727539","47.685001373291","49.1650009155273","50.0200004577637","46.5060005187988","50.2830009460449",
"Armenia","ARM","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.681999206543","58.6290016174316","58.3479995727539","57.8819999694824","57.4339981079102","57.0670013427734","56.8009986877441","56.5900001525879","56.4199981689453","56.2599983215332","56.0579986572266","55.7750015258789","55.4210014343262","55.0610008239746","54.7589988708496","54.5209999084473","54.3720016479492","54.3730010986328","54.3040008544922","55.2060012817383","55.4140014648438","55.4790000915527","55.4449996948242","55.5250015258789","55.5940017700195","55.6689987182617","55.7360000610352","55.7239990234375","55.6730003356934","57.5190010070801","57.5699996948242","57.7789993286133",
"American Samoa","ASM","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.2140007019043","51.9469985961914","51.9059982299805","51.6679992675781","52.5670013427734","53.5730018615723","53.765998840332","53.5550003051758","53.6180000305176","53.6049995422363","54.4939994812012","55.0340003967285","55.2210006713867","55.9000015258789","55.6749992370605","56.9570007324219","57.5089988708496","58.060001373291","58.5349998474121","58.7360000610352","58.5960006713867","58.8450012207031","58.75","58.6660003662109","58.6349983215332","59.0979995727539","59.3279991149902","59.8380012512207","60.4799995422363","60.951000213623","60.1920013427734","61.2159996032715",
"Austria","AUT","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.9939994812012","43.5379981994629","44.8450012207031","45.3009986877441","48.6360015869141","49.3769989013672","48.8219985961914","48.7039985656738","49.3320007324219","49.5040016174316","49.3860015869141","49.3600006103516","50.564998626709","50.7830009460449","50.0029983520508","51.2970008850098","51.9790000915527","52.8479995727539","53.3779983520508","54.0410003662109","54.1559982299805","54.5069999694824","54.9939994812012","55.2869987487793","55.2999992370605","55.3530006408691","55.9109992980957","55.8889999389648","55.9049987792969","55.9869995117188","55.6290016174316","55.9150009155273",
"Azerbaijan","AZE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3529968261719","65.6050033569336","67.5039978027344","69.8720016479492","72.2490005493164","73.8990020751953","74.1019973754883","73.8990020751953","73.3600006103516","72.9929962158203","72.1350021362305","70.1949996948242","68.7289962768555","66.5410003662109","64.0930023193359","62.8240013122559","61.0040016174316","56.7449989318848","56.6710014343262","57.9939994812012","59.7470016479492","58.2109985351563","59.1440010070801","59.2900009155273","60.1389999389648","60.9599990844727","62.0270004272461","62.4189987182617","62.9879989624023","62.7910003662109","64.7289962768555","64.0970001220703",
"Burundi","BDI","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.4660034179688","89.9739990234375","89.4629974365234","88.7969970703125","88.1169967651367","87.5199966430664","86.7509994506836","85.8919982910156","85.0100021362305","84.4729995727539","83.9410018920898","83.443000793457","82.9759979248047","82.5469970703125","82.1829986572266","81.8509979248047","81.568000793457","81.3359985351563","81.1279983520508","81.0380020141602","80.9670028686523","80.818000793457","80.6900024414063","80.5859985351563","80.4720001220703","80.7480010986328","80.9169998168945","80.9929962158203","81.0009994506836","80.8479995727539","79.8970031738281","80.693000793457",
"Belgium","BEL","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5099983215332","37.9700012207031","38.875","39.5589981079102","40.1689987182617","40.5410003662109","40.5610008239746","41.0050010681152","41.6619987487793","43.1669998168945","43.6430015563965","41.8639984130859","42.5709991455078","42.951000213623","44.25","45.6910018920898","45.814998626709","46.5340003967285","46.9119987487793","46.9469985961914","47.7130012512207","47.0340003967285","47.0999984741211","47.765998840332","48.0769996643066","48.0040016174316","47.7700004577637","48.7369995117188","49.5330009460449","49.8409996032715","49.3359985351563","50.0419998168945",
"Benin","BEN","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.9770011901855","56.9700012207031","56.9749984741211","57.7080001831055","58.4640007019043","59.2449989318848","60.0390014648438","60.8499984741211","61.685001373291","62.5460014343262","63.4329986572266","64.3479995727539","65.2919998168945","65.7559967041016","66.2229995727539","66.6969985961914","67.1729965209961","67.6470031738281","68.1259994506836","68.6080017089844","69.0940017700195","69.5830001831055","67.8190002441406","66.0039978027344","64.1399993896484","62.2319984436035","60.2830009460449","58.298999786377","56.2830009460449","56.3310012817383","55.7919998168945","55.9000015258789",
"Burkina Faso","BFA","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.375","79.3679962158203","78.3610000610352","77.3190002441406","76.2409973144531","75.1279983520508","73.9820022583008","72.8010025024414","71.5780029296875","70.3130035400391","69.0139999389648","67.6800003051758","66.3109970092773","64.911003112793","63.4809989929199","62.0260009765625","60.5499992370605","60.1110000610352","59.6980018615723","59.306999206543","58.9370002746582","58.5870018005371","58.257999420166","57.9539985656738","57.6749992370605","57.6959991455078","57.7150001525879","57.7369995117188","57.765998840332","57.8009986877441","57.2480010986328","58.0340003967285",
"Bangladesh","BGD","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0410003662109","26.1399993896484","26.2900009155273","26.4839992523193","26.7089996337891","26.9599990844727","27.1599998474121","27.3899993896484","27.6399993896484","27.8910007476807","28.132999420166","28.3040008544922","28.488000869751","28.6749992370605","28.8570003509521","29.0380001068115","29.1310005187988","29.5410003662109","29.9619998931885","30.3840007781982","30.7889995574951","31.1909999847412","31.5949993133545","32.0069999694824","32.423999786377","32.8470001220703","33.2709999084473","36.4490013122559","36.6940002441406","36.8839988708496","36.5429992675781","37.1040000915527",
"Bulgaria","BGR","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2319984436035","53.5559997558594","53.8549995422363","52.7109985351563","51.564998626709","50.4169998168945","49.2669982910156","48.1150016784668","46.9650001525879","45.814998626709","44.6660003662109","46.4570007324219","46.0629997253418","44.798999786377","45.4650001525879","44.4220008850098","46.3600006103516","47.476001739502","48.3330001831055","47.5209999084473","47.7939987182617","47.2239990234375","47.8489990234375","48.5769996643066","48.6300010681152","48.5730018615723","47.6660003662109","49.5180015563965","49.2179985046387","50.2760009765625","49.1879997253418","49.0340003967285",
